station_no,Udhayanidhi Stalin,Raghu C,Abid Bakshq H Hussain,Ravi M L,Rajendran L,Kassali A V A,Tabrez,Mohammed Idris K,Mohamed Rioz,Jayasimmaraja S M,Anandan K,Kannan C,Ganesan P,Krishnadasan S,Chandranathan S,Srinivasan,Senthil Kumar H,Dilliraj P,Nagarajan,Balaji K,Balaji C,Manikandan E,Madhana Gopal T,Mohammed Hussain,Muniyandi,Ravi E,nota,rejected,total,total_valid
16,224,1,0,0,7,93,0,18,0,30,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,389,379
17,299,6,0,0,9,70,0,19,2,41,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,12,0,462,450
18,278,5,0,2,6,107,1,30,0,43,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,4,0,479,475
19,270,1,1,0,17,110,1,22,1,20,0,0,0,1,0,2,3,0,0,0,1,0,0,0,0,2,13,0,465,452
20,182,2,0,0,3,68,1,15,1,24,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,13,0,312,299
21,357,6,0,1,17,132,2,29,0,41,0,1,0,0,1,1,1,0,3,0,0,1,0,0,0,0,5,0,598,593
22,205,1,0,0,7,62,1,14,1,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,0,343,331
23,201,4,0,1,6,55,0,14,0,26,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,5,0,317,312
24,260,8,1,0,5,45,1,9,0,47,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,11,0,389,378
25,237,3,1,0,9,97,1,19,0,36,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,13,0,422,409
26,207,2,0,0,8,60,0,14,0,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,12,0,349,337
27,98,1,0,0,0,18,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,130,129
28,260,3,1,1,9,88,2,11,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,414,407
29,234,4,0,0,10,86,0,10,0,37,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,10,0,394,384
30,183,2,0,0,7,62,2,16,0,33,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,8,0,318,310
31,351,3,0,0,7,61,0,11,1,45,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,484,482
32,240,1,0,0,8,65,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,338,335
33,294,0,0,0,4,62,1,23,1,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,413,407
34,354,0,0,0,7,48,0,21,0,29,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,465,461
35,277,1,1,0,15,46,2,13,0,27,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,389,387
36,314,6,0,1,8,101,0,14,0,34,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,484,480
37,289,3,1,0,17,76,0,13,1,29,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,435,432
38,254,2,0,0,9,76,1,13,0,12,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,9,0,380,371
39,280,0,0,1,6,72,0,7,0,35,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,5,0,410,405
40,257,1,1,0,8,36,0,14,1,14,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,339,336
41,472,3,0,1,24,31,0,7,2,19,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,566,562
42,231,3,0,0,12,47,1,4,1,30,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,4,0,337,333
43,151,3,0,0,5,20,2,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,216,213
44,185,0,0,0,14,42,0,12,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,279,275
45,323,1,1,1,1,38,0,3,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,380,377
46,270,2,0,0,10,38,0,5,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,342,338
47,192,0,0,0,6,74,1,12,0,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,319,312
48,406,3,0,0,6,54,2,3,0,31,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,4,0,514,510
49,219,0,0,0,6,63,1,7,0,30,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,330,329
50,250,0,4,0,7,38,0,7,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,329,327
51,237,0,0,0,9,91,0,18,0,21,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,5,0,386,381
52,486,0,3,0,10,53,1,4,1,30,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,4,0,596,592
53,223,1,0,1,3,60,0,15,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,332,326
54,239,1,1,0,3,137,1,40,1,17,0,0,0,0,0,1,3,1,1,0,0,3,0,0,0,1,3,0,453,450
55,280,0,0,0,1,44,0,18,0,10,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,357,357
56,196,3,1,0,1,66,0,8,2,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,326,319
57,230,0,0,0,4,45,1,11,0,18,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,7,0,321,314
58,188,3,0,0,4,89,0,13,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,335,331
59,309,6,1,2,5,179,2,21,0,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,582,573
60,254,2,0,0,2,61,1,10,1,20,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,357,353
61,281,0,0,1,2,49,0,11,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,373,371
62,293,1,0,0,3,20,1,5,1,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,347,342
63,300,1,0,1,11,31,2,12,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,391,386
64,218,2,0,0,3,49,2,13,0,15,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,5,0,310,305
65,183,1,0,0,6,48,1,12,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,279,274
66,194,2,0,0,2,102,1,17,1,19,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,9,0,352,343
67,286,0,0,0,2,43,0,12,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6,0,365,359
68,305,4,0,0,8,136,0,11,0,14,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,8,0,490,482
69,321,1,0,0,6,25,0,10,0,21,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,390,386
70,248,1,1,0,1,40,0,8,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,322,321
71,196,3,0,0,10,124,0,12,1,26,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,13,0,390,377
72,332,2,0,0,3,80,1,12,0,32,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,7,0,472,465
73,198,2,0,0,2,83,0,11,0,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,329,323
74,198,4,0,0,7,73,0,21,0,26,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,6,0,341,335
75,227,2,0,0,7,56,2,12,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,10,0,360,350
76,222,0,0,0,4,74,0,20,1,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,359,352
77,270,1,0,0,8,62,1,17,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,399,394
78,282,0,1,0,6,48,0,7,0,43,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,0,399,391
79,297,2,0,0,1,63,1,7,0,29,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,406,402
80,226,1,0,0,3,47,2,8,0,28,1,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,7,0,328,321
81,268,1,0,0,10,54,0,19,0,47,0,3,0,0,0,1,0,0,2,0,0,0,0,0,4,0,9,0,418,409
82,287,0,0,0,9,77,1,11,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,442,435
83,482,4,0,0,13,89,1,9,0,50,1,0,1,0,1,0,1,0,1,0,1,0,0,0,2,0,1,0,657,656
84,410,2,3,0,6,74,0,23,0,43,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,7,0,571,564
85,418,9,0,0,6,47,1,1,0,59,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,4,0,550,546
86,223,2,1,0,5,74,0,9,0,62,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,1,5,0,387,382
87,206,2,0,0,7,67,2,9,0,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,352,347
88,266,2,0,0,4,47,2,9,1,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,390,387
89,303,4,0,1,6,29,0,7,0,57,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,2,0,414,412
90,482,3,0,1,1,100,2,8,0,92,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,8,0,702,694
91,117,1,1,0,5,136,0,12,0,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,10,0,321,311
92,125,4,0,1,0,147,1,12,1,36,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5,10,0,345,335
93,265,3,0,2,7,151,0,20,0,56,1,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,8,0,519,511
94,397,16,0,1,3,51,2,12,0,63,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,2,6,0,557,551
95,352,13,0,0,1,22,0,10,0,41,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,446,441
96,248,3,0,0,1,17,0,9,0,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,329,324
97,317,5,0,0,0,26,0,7,0,36,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,393,393
98,76,3,1,0,2,163,0,11,0,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,296,286
99,154,1,0,1,9,245,0,18,0,26,0,0,0,0,1,2,1,0,1,0,0,0,1,0,0,14,9,0,483,474
100,175,2,0,1,9,104,0,13,0,35,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,7,0,351,344
101,289,2,1,1,7,181,1,44,1,27,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,7,22,0,588,566
102,103,0,0,0,12,195,0,9,0,22,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,4,10,0,359,349
103,86,2,0,0,8,261,1,20,0,12,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2,22,13,0,431,418
104,84,2,1,1,6,248,0,16,0,12,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,10,13,0,398,385
105,201,0,0,1,6,84,0,7,0,18,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,327,319
106,112,2,0,0,2,167,0,11,0,32,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,14,0,344,330
107,242,3,0,0,3,272,3,21,2,35,1,0,0,1,0,0,0,0,1,1,0,0,2,1,0,17,19,0,624,605
108,156,6,0,1,5,125,1,21,1,30,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,10,0,360,350
109,62,0,0,0,6,202,0,14,3,11,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9,15,0,325,310
110,294,5,1,0,6,76,5,24,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,455,442
111,156,4,0,0,6,86,1,23,0,18,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,305,300
112,286,0,0,0,7,122,0,17,0,23,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,477,467
113,306,6,0,0,4,83,0,22,2,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,465,455
114,233,1,1,0,10,70,0,18,1,44,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,0,389,386
115,327,5,0,0,5,178,0,37,0,46,0,1,0,1,0,1,2,1,1,0,0,0,1,0,0,7,17,0,630,613
116,153,0,0,0,6,116,0,10,2,26,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,11,0,329,318
117,194,7,0,1,4,100,0,27,0,24,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,5,17,0,383,366
118,157,0,1,1,7,147,0,18,0,22,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,16,0,378,362
119,150,2,0,1,8,99,0,13,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,10,0,317,307
120,280,0,0,0,4,36,2,16,1,31,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,7,0,383,376
121,291,3,0,1,6,40,0,14,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,393,388
122,265,2,0,1,8,62,0,16,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,395,392
123,231,1,0,1,3,54,3,16,1,38,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,360,349
124,314,1,2,0,5,59,1,10,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,431,428
125,399,1,0,1,9,76,1,10,0,35,0,1,0,0,1,0,2,1,0,1,1,0,0,0,0,0,4,0,543,539
126,248,1,2,0,5,52,0,21,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,366,359
127,233,0,1,0,6,61,0,13,0,54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,375,370
128,219,3,0,0,6,70,1,23,1,34,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,3,11,0,377,366
129,212,4,0,0,9,74,1,15,1,38,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,14,0,374,360
130,340,0,0,0,3,42,1,2,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,424,420
131,415,0,0,0,2,32,2,3,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,485,480
132,244,1,0,0,3,47,1,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,319,317
133,568,2,0,0,7,22,1,4,1,18,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0,633,625
134,442,2,0,0,0,19,0,8,0,22,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,499,497
135,347,2,0,0,7,21,1,16,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,417,416
136,456,2,0,0,0,27,1,4,1,29,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,5,0,529,524
137,312,1,0,0,0,7,1,2,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,337,335
138,312,0,1,0,2,6,1,2,0,8,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,338,336
139,546,1,0,0,10,31,1,5,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,618,617
140,327,1,0,0,4,22,0,2,0,16,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,1,5,0,384,379
141,318,0,0,0,5,69,0,9,0,30,0,0,1,0,2,4,0,0,1,0,0,0,0,0,0,0,10,0,449,439
142,423,2,1,0,5,105,0,10,1,45,0,0,0,1,1,0,0,0,2,1,0,1,0,0,1,0,5,0,604,599
143,222,2,0,1,2,83,1,20,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,375,372
144,376,2,1,1,2,83,0,13,0,30,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,6,0,517,511
145,314,1,0,0,4,58,1,19,1,22,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,4,0,429,425
146,441,1,0,0,13,29,0,8,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,526,521
147,370,0,0,0,4,22,0,2,0,11,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,2,2,0,418,416
148,312,2,0,0,1,46,3,9,0,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,415,409
149,313,2,0,0,2,35,3,6,1,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,398,398
150,365,0,0,0,6,46,2,9,1,47,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,482,478
151,332,1,0,0,9,52,7,16,0,27,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,7,0,455,448
152,338,3,1,1,8,34,2,18,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,433,427
153,230,0,0,0,8,25,0,3,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,285,280
154,369,1,2,2,4,102,2,23,0,38,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,13,0,560,547
155,219,1,0,0,5,51,0,9,1,24,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,11,0,326,315
156,257,0,1,0,6,78,0,8,0,26,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,7,0,389,382
157,461,4,0,0,9,41,3,11,0,27,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,564,560
158,458,1,0,0,9,29,2,26,0,19,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,555,547
159,496,1,0,0,7,52,2,21,1,38,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,1,4,0,629,625
160,360,0,0,0,4,32,1,16,0,18,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,438,434
161,298,0,0,0,4,12,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,331,327
162,296,0,0,0,0,17,7,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,340,338
163,272,0,0,1,2,11,16,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,314,311
164,315,1,0,0,0,23,7,5,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,364,363
165,351,2,0,0,10,42,0,11,0,31,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,10,0,460,450
166,356,2,0,0,1,9,2,8,0,12,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,395,394
167,539,0,0,1,2,19,2,2,0,29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,599,596
168,500,0,0,0,7,61,1,20,0,42,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,7,0,643,636
169,242,2,0,2,4,26,0,13,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,317,315
170,276,1,0,0,3,44,2,11,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,369,364
171,213,0,0,0,6,72,1,9,0,30,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,340,333
172,221,1,0,0,2,72,1,10,0,49,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,0,369,360
173,253,2,0,0,2,51,1,12,0,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,352,344
174,186,1,0,1,2,108,1,8,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,344,337
175,202,2,0,0,6,111,1,12,0,33,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,383,370
176,257,4,0,1,4,48,0,2,0,60,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,386,379
177,245,1,1,0,4,75,0,2,0,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,0,390,382
178,206,2,1,0,4,71,0,6,0,26,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,4,3,0,327,324
179,366,0,1,0,3,60,4,13,1,24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,486,474
180,169,0,0,0,7,149,2,16,0,26,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,23,0,395,372
181,177,1,0,2,9,106,0,11,0,29,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,14,0,354,340
182,108,3,0,0,3,174,1,23,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,9,0,340,331
183,225,5,3,2,14,201,1,13,0,12,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,7,27,0,514,487
184,248,4,0,4,5,228,2,21,1,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,26,0,578,552
185,140,3,0,1,11,115,1,7,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,0,309,299
186,419,1,0,0,17,114,0,33,1,86,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,8,0,684,676
187,318,2,1,0,7,45,0,13,0,25,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,2,0,417,415
188,279,1,0,2,3,122,2,7,0,47,0,0,1,0,0,1,0,0,4,0,0,1,0,0,0,0,3,0,473,470
189,279,3,0,1,3,63,0,28,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,414,411
190,505,3,0,0,7,124,2,14,1,29,0,1,0,2,1,4,1,0,0,0,2,3,2,0,0,2,5,0,708,703
191,227,2,0,0,1,87,0,4,2,35,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,0,365,361
192,240,1,0,0,8,71,1,9,0,64,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,400,397
193,484,2,0,0,2,22,2,9,0,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,2,0,7,0,556,549
194,260,2,0,0,1,75,0,6,0,44,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,402,390
195,191,1,0,0,4,52,1,8,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,293,289
196,168,1,0,0,4,35,1,8,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,240,236
197,216,2,0,0,5,81,2,10,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,371,363
198,428,2,0,1,9,116,4,10,0,74,1,0,1,0,1,1,0,0,2,1,0,0,0,0,1,0,7,0,659,652
199,193,0,0,0,3,44,0,10,0,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,288,282
200,173,2,1,0,2,84,1,10,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,308,303
201,305,5,0,0,8,118,2,27,0,38,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,15,0,521,506
202,208,1,0,1,8,39,0,4,0,41,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,308,306
203,317,3,0,0,6,124,2,5,0,48,2,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,4,0,518,514
204,374,2,0,0,6,65,2,11,0,44,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,10,0,521,511
205,269,0,0,0,6,65,1,6,0,35,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,4,0,392,388
206,302,0,0,0,11,82,4,17,0,52,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,473,471
207,280,4,0,0,6,86,1,9,1,44,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,3,0,438,435
208,256,1,0,0,2,75,1,8,1,41,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,392,387
209,396,1,0,0,8,54,0,5,1,49,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,517,516
210,310,1,0,0,6,73,1,18,1,51,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,466,464
211,415,2,0,0,4,35,1,10,0,21,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,493,492
212,505,0,1,1,5,32,0,10,0,22,0,0,0,1,0,3,0,3,0,0,1,0,1,0,2,0,8,0,595,587
213,420,3,0,0,4,50,0,9,0,34,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,16,0,543,527
214,306,0,0,0,5,88,2,19,0,33,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,6,0,463,457
215,281,3,0,1,6,117,2,12,0,57,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,2,0,487,485
216,333,2,0,0,4,27,0,2,0,34,0,0,1,0,0,2,3,0,0,0,2,1,0,0,0,0,0,0,411,411
217,317,0,0,0,11,26,0,6,0,29,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,392,391
218,205,1,0,0,5,62,4,9,0,48,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,3,0,341,338
