station_no,M SURESH,P K SEKARBABU,R FOUZAN SHARIFF,R MANOHAR,SINORA P S ASHOK,SIVALINGAM ASHOK,ASHOK KUMAR,S GANESH,D KABILAN,M KALAIVENTHAN,SANKAR A,J SHANMUGAPRIYAN,R DINESH,J M NIRAIMOZHI,A NEPOLIAN,BABU SINGH,K E MANOHAR,G VISU,I VINOD,P VIJAYAKUMAR,T VIJAYARAJ,S VEERABATHRAN,V JAGADEESAN,nota,rejected,total,total_valid
37,3,146,4,271,161,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,9,0,598,589
38,3,146,3,195,139,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,496,492
39,3,111,4,122,86,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,331,328
40,1,135,7,82,244,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,2,0,478,476
41,2,444,10,57,207,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,0,728,725
42,0,412,15,26,116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,573,570
43,0,274,16,112,316,4,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,1,0,729,728
44,0,380,15,71,259,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,5,0,736,731
45,2,252,18,27,211,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,515,514
46,2,249,13,107,288,3,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,6,0,672,666
47,1,280,9,63,214,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,6,0,580,574
48,0,160,9,109,228,1,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,513,512
49,1,289,12,120,243,2,1,1,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,3,0,678,675
50,1,324,17,67,229,4,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2,0,650,648
51,2,324,9,39,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,566,563
52,0,211,12,27,103,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,356,355
53,1,143,3,53,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,324,322
54,0,275,7,78,180,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,547,543
55,3,337,18,95,184,1,2,3,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,5,0,653,648
56,3,118,6,140,122,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,397,395
57,1,126,12,159,140,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,448,441
58,1,353,12,48,185,5,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,611,609
60,1,230,13,190,145,1,1,0,0,2,4,0,0,1,0,1,0,0,0,0,1,0,1,7,0,598,591
61,2,217,9,80,227,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,544,541
62,0,222,8,132,209,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,3,0,581,578
63,0,293,12,50,152,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,511,508
64,4,84,5,227,148,1,2,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,3,0,481,478
65,0,223,3,121,128,1,1,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,3,0,485,482
66,1,381,11,32,208,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,642,640
67,0,379,5,74,135,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,603,597
68,0,372,5,28,117,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,528,526
69,0,308,7,6,72,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,399,395
70,1,196,7,88,178,2,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,3,0,480,477
71,1,469,10,19,91,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,593,592
72,1,438,9,14,92,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,559,556
73,0,224,8,14,95,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,344,343
74,1,335,15,44,216,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,616,614
75,1,325,17,43,198,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,587,586
76,1,335,14,22,223,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,600,599
77,3,285,20,100,290,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,3,0,707,704
78,0,262,11,21,174,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,473,472
79,0,281,15,45,185,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,3,0,535,532
80,1,344,17,56,199,4,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,626,625
81,0,159,8,55,156,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,385,385
82,2,386,10,44,326,2,1,0,0,0,4,0,0,0,0,1,0,0,0,2,1,0,0,1,0,780,779
83,1,272,9,92,275,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,5,0,658,653
84,0,185,8,44,135,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,379,378
85,0,374,8,38,204,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,633,628
86,0,383,11,59,296,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,755,754
87,1,349,13,74,315,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,757,757
88,1,253,13,48,193,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,516,515
89,2,126,5,58,267,1,0,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,465,465
90,4,274,15,62,281,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,641
91,2,402,12,31,163,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,615,613
92,0,262,9,72,188,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,537,536
93,1,314,18,44,160,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,542,540
94,1,372,12,65,182,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,635,634
95,0,209,22,46,247,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,530,529
96,1,203,8,60,168,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,446,445
97,0,169,9,63,96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,6,0,346,340
98,2,226,17,75,205,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,6,0,534,528
99,1,352,9,16,88,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,471,469
100,1,148,6,67,180,1,0,1,1,0,1,1,0,0,0,2,1,1,0,0,1,0,1,1,0,414,413
101,0,145,11,68,138,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,371,366
102,0,318,16,73,166,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,580,576
103,1,265,11,98,305,1,1,0,1,0,3,0,2,0,0,2,0,0,0,0,0,0,0,3,0,693,690
104,0,331,3,31,176,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,545,544
105,0,232,13,88,209,0,0,0,0,0,3,0,0,1,1,1,1,2,0,0,0,0,0,2,0,553,551
106,0,504,4,45,378,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,934
107,0,337,9,86,314,3,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,755,754
108,2,419,13,66,255,3,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,4,0,768,764
109,0,584,9,31,199,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,835,826
110,2,224,13,47,219,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,510,510
111,3,494,19,10,126,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,0,658,655
112,2,359,6,47,222,0,0,0,1,0,2,0,0,0,0,3,2,0,0,1,0,0,0,1,0,646,645
113,0,344,4,5,93,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,451,450
114,0,415,9,23,204,4,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,3,0,663,660
115,0,296,5,5,92,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,404,402
116,1,247,11,34,163,4,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,463,463
117,0,329,5,9,159,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,510,509
119,0,451,9,11,91,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,569,566
120,1,347,9,10,107,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,2,0,483,481
121,0,285,8,65,325,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,1,0,690,689
122,2,185,8,53,159,1,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,3,0,417,414
123,1,435,11,37,142,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,8,0,639,631
124,3,397,20,68,199,2,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,9,0,704,695
125,0,282,9,67,306,3,0,0,1,0,4,0,1,1,3,1,0,1,0,0,1,0,1,2,0,683,681
126,1,213,18,67,227,4,0,1,0,0,0,0,0,2,2,2,0,1,0,1,2,0,0,2,0,543,541
127,1,270,2,27,176,1,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,484,484
128,1,287,3,24,183,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,502,502
129,0,417,17,52,131,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,623,621
130,1,337,5,15,168,4,0,0,0,0,4,2,0,0,0,0,1,1,0,0,0,0,0,5,0,543,538
131,0,223,3,5,42,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,277,275
132,1,180,7,186,147,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,0,531,527
133,2,155,3,174,114,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,5,0,460,455
134,2,110,5,225,100,2,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,6,0,456,450
135,0,200,14,64,164,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,449,446
136,2,188,7,66,156,1,1,0,0,0,1,0,0,0,0,2,0,1,1,2,0,0,1,0,0,429,429
137,1,116,3,173,124,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,429,423
138,0,191,3,130,135,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,465,463
139,2,146,5,152,123,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,6,0,442,436
140,1,73,4,140,65,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,289,288
141,1,111,2,119,55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,0,296,291
142,2,186,3,157,97,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,8,0,459,451
143,2,64,3,155,79,1,0,1,0,0,2,1,1,0,0,1,0,0,0,0,2,0,0,4,0,316,312
144,1,81,1,133,63,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,286,282
145,4,96,6,201,118,0,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,12,0,445,433
146,0,132,6,40,95,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,6,0,284,278
147,3,182,10,12,85,3,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,299,299
148,0,198,8,40,105,0,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,1,0,358,357
149,1,162,2,214,102,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,492,484
150,2,363,6,34,401,5,0,1,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,818,818
151,0,347,13,43,421,5,0,0,0,0,2,1,1,0,1,1,1,2,1,0,0,0,0,1,0,840,839
152,0,497,12,58,306,2,1,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,882,882
153,0,284,4,23,258,2,0,1,1,0,1,0,1,0,0,2,0,1,0,0,3,0,0,1,0,582,581
154,3,103,2,127,63,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,0,307,304
155,2,87,4,125,98,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,321,318
156,0,103,0,111,52,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,271,270
157,1,141,5,126,115,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,8,0,401,393
158,0,98,4,67,63,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,236,235
159,1,139,0,180,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,435,425
160,1,120,2,180,107,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,417,413
161,1,136,2,134,112,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,393,387
162,1,174,4,153,114,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,452,449
163,1,165,1,202,135,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,511,507
164,2,175,15,50,219,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0,0,469,469
165,1,168,14,40,145,1,0,0,0,0,2,0,0,0,0,0,0,2,0,1,2,0,0,0,0,376,376
166,1,161,7,96,97,2,0,0,0,0,0,0,1,0,0,1,1,3,0,1,2,0,0,3,0,376,373
167,0,153,6,26,164,2,1,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,358,358
168,2,219,9,115,194,3,2,1,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,4,0,555,551
169,3,119,2,92,124,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,5,0,349,344
170,2,92,4,106,83,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,294,292
171,0,101,7,195,162,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,475,471
172,2,127,9,150,147,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,439,437
173,2,71,1,112,90,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,281,279
174,1,73,0,187,59,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,8,0,331,323
175,3,120,3,58,72,2,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,265,264
176,2,91,1,97,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,243,239
178,0,211,8,158,244,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,626
179,2,123,3,146,87,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,368
180,1,127,3,17,158,2,0,1,0,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,315
181,1,220,5,14,224,3,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,474
182,2,223,16,35,367,3,0,0,0,0,1,2,1,0,0,1,2,3,0,0,0,2,0,0,0,0,658
183,1,108,8,12,124,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,262
184,0,155,5,27,153,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,346
185,1,332,18,31,320,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,706
186,1,311,10,61,351,3,1,0,0,0,3,0,1,0,1,1,0,1,0,1,0,0,0,2,0,0,746
187,1,461,5,32,197,5,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,706
188,2,389,16,32,230,3,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,676
189,0,434,12,40,193,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,4,0,0,685
190,1,413,10,31,149,1,0,1,1,0,0,0,1,1,0,2,0,0,0,0,1,2,0,2,0,0,614
191,1,390,18,73,286,3,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,775
192,2,453,18,46,213,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,736
