station_no,SEKARBABU. P.K,RAVIKUMAR. C,VINOJ. P. SELVAM,AHAMED FAZIL. M,SANTHANA KRISHNAN.,RAMESH. A,ANANDRAJ. T.K,UDHAYAKUMAR. V,GANESH. S,KAMAL. J,KRISHNAKUMAR. G,SHANKAR. A,CHANDRAN. R,SIVARAMAN. G,ZIONRAJ. M,SURESH. R,SELVAM. P,SELVAKUMAR. R,SELVARAJ. S,DAMODHARAN. A.G,NAGARAJ. S,PUGALENTHI. P,MAHALINGAM. D,RAGHUNATH. K,RAMESH. D,RAMKI. P,VIVEK RAM. A,SRINIVASAN. P,nota,rejected,total,total_valid
116,101,0,18,17,1,15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,156,155
117,304,1,39,11,2,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,372,368
118,244,0,45,15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,313,311
119,233,2,40,9,6,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,4,0,309,305
120,219,0,3,10,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,237
121,216,0,296,6,8,21,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,0,559,551
122,154,3,348,4,2,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,7,0,532,525
123,84,0,249,2,1,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,7,0,359,352
124,247,0,107,17,1,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,395,390
125,108,0,259,7,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,391,385
126,162,3,229,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,415,413
127,166,2,297,10,3,10,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,7,0,502,495
128,85,3,286,4,0,5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0,393,386
129,168,6,337,2,1,8,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,7,0,536,529
130,52,6,267,3,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,338,333
131,99,0,271,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,384,380
132,84,6,248,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,353,347
133,143,0,75,8,3,13,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7,0,254,247
134,271,1,92,20,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,400,398
135,85,3,239,6,0,12,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,354,350
136,332,7,56,26,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,447,446
137,276,0,55,20,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,365,364
138,328,0,47,23,10,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,417,416
139,106,3,268,2,0,11,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,403,393
140,120,1,294,4,1,8,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2,0,7,0,442,435
141,85,0,203,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,300,296
142,131,0,253,12,1,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,0,425,417
143,93,0,345,3,0,8,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,4,0,460,456
144,147,2,342,2,0,13,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,7,0,519,512
145,152,1,248,4,5,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,431,421
146,115,1,196,10,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,333,332
147,120,2,183,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,316,312
148,350,8,63,19,7,22,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,477,476
149,316,4,49,20,2,11,0,0,1,0,0,0,0,2,0,2,4,0,0,0,0,1,0,0,0,0,1,0,3,0,416,413
150,171,0,248,12,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,445,442
151,260,6,43,8,2,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,335,331
152,168,2,142,25,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,354,350
153,193,2,224,19,1,18,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,4,0,466,462
154,111,11,268,5,1,20,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,429,424
155,112,3,259,4,7,25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,417,413
156,190,6,311,19,0,34,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,569,565
157,99,2,222,7,2,19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,7,0,361,354
158,68,1,321,0,2,5,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,2,0,0,3,1,7,0,415,408
159,192,2,142,10,2,16,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,371,370
160,79,5,250,2,1,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,356,350
161,376,5,110,13,4,15,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,528,528
162,314,3,185,7,5,9,0,0,2,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,533,531
163,104,5,222,6,3,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,352,349
164,168,0,25,16,2,8,0,0,0,0,0,0,1,1,0,1,6,0,0,1,0,1,0,0,0,0,1,1,1,0,233,232
165,311,0,35,27,0,6,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,1,0,4,0,390,386
166,467,1,68,38,16,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,605,605
167,218,1,32,36,8,5,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,2,0,308,306
168,271,0,48,26,3,2,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,2,0,358,356
169,64,0,3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,78,77
170,15,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19
171,596,2,95,39,6,17,0,0,1,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,1,2,0,766,764
172,460,4,64,64,5,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9,0,616,607
173,358,1,50,30,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,467,460
174,321,0,63,17,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,421,419
175,307,0,46,24,5,18,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,404,404
176,469,3,105,33,5,40,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,5,0,7,0,673,666
177,339,0,54,32,2,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,450
