station_no,AADIRAJARAM,AYSHA,UDHAYANIDHI STALIN,MOHAMMED YASSER,IRFAN BASHA,SELVAM. D,AGNI AALVAR,ATHIMULAM,AYISHA,ARUMUGAM. C,KUMAR. M,SAAMY. S.K. DR,SEENIVASAN. L,SELVAM. K,SELVAM. K,SYEED LAYAK BHASHA,BHARATHKUMAR. G,MILANY. P,MIRZA SAFDER ALI,MOHAMED DHARIK. I,MOHAMED MEERA. A,RAJASEKAR. S,RAJESHKUMAR. K,VIJAYA KUMAR. B,SELVAM ( ALIAS ) VENKATESH,SELVAM ( ALIAS ) HARINARAYANAN,nota,rejected,total,total_valid
113,312,12,110,0,0,138,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3,0,581,578
114,123,14,273,1,1,244,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,2,0,664,662
115,217,18,105,0,0,177,1,0,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,527,525
116,264,15,178,2,0,196,3,0,0,0,1,0,1,1,1,0,1,0,0,1,2,2,0,0,0,1,10,0,678,668
117,132,23,161,1,0,258,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,583,582
118,343,10,66,1,1,146,3,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,8,0,582,574
119,59,20,303,0,0,178,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,565,562
120,114,24,158,0,0,193,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,500,494
121,62,12,224,1,0,197,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,501,498
122,46,9,244,2,0,147,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,452,451
123,91,17,227,0,1,259,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,602,601
124,156,23,225,1,0,275,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,687,684
125,135,15,139,0,0,172,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,468,465
126,101,20,121,0,1,163,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,411,409
127,205,24,162,0,0,204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,603,597
128,123,10,209,1,2,250,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,3,1,1,0,8,0,615,607
129,51,15,218,0,1,216,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,506,505
130,36,17,254,0,0,231,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,541,541
131,26,9,344,2,3,250,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,638,636
132,67,15,427,3,0,277,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,798,798
133,68,15,282,2,2,308,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,689,683
134,61,13,279,0,0,255,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,616,613
135,82,18,366,0,2,347,2,1,1,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,4,0,829,825
137,70,27,410,1,0,284,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1,0,2,0,803,801
138,123,23,243,1,1,323,3,1,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,5,0,730,725
139,88,11,242,0,1,254,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,3,0,605,602
140,31,7,463,1,2,225,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,733,732
141,27,12,469,1,1,164,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,2,0,684,682
142,50,11,402,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,655,651
143,30,3,474,1,3,243,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,5,0,764,759
144,8,11,369,1,0,160,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,2,0,557,555
145,16,6,344,1,0,144,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,513,513
146,33,12,387,1,1,228,2,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,669,668
147,7,6,479,6,3,146,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,654,653
148,2,5,325,0,1,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,415
149,18,9,473,1,0,156,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,662,661
150,17,8,585,0,8,191,2,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,4,0,819,815
151,83,20,239,0,2,259,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,0,615,608
152,61,13,298,0,0,222,3,0,1,0,2,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,2,0,608,606
153,93,16,206,2,0,239,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,3,0,566,563
154,43,4,302,1,0,195,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,551,548
155,43,8,235,1,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,435,429
156,32,9,404,1,0,127,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,577,576
157,45,15,422,2,2,232,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,722,722
158,34,14,357,0,0,190,2,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,1,0,1,0,605,604
159,17,6,285,0,1,134,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,446,446
160,24,21,248,1,0,207,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,4,0,0,0,1,0,511,510
161,22,13,250,1,1,184,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,476,475
162,24,11,177,2,1,78,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,298,296
163,19,6,225,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,354,353
164,73,16,226,0,0,309,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,628,625
165,49,9,125,0,0,156,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,1,0,5,0,351,346
166,45,8,401,2,0,283,2,1,0,0,0,1,0,0,0,0,1,0,4,0,1,1,2,0,0,0,4,0,756,752
167,33,10,474,2,0,181,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,712,703
168,27,17,484,2,2,192,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,737,729
169,30,14,479,2,1,202,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,5,0,737,732
170,23,5,495,2,2,219,3,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,755,753
171,16,4,484,2,2,160,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,6,0,678,672
172,29,1,489,1,0,157,4,0,0,0,0,0,0,1,1,0,0,0,19,1,1,0,0,0,0,1,1,0,706,705
173,4,7,432,0,0,117,1,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,1,0,2,0,580,578
174,20,2,425,0,1,156,1,1,0,0,0,0,0,0,0,1,0,2,19,0,0,0,1,0,1,2,3,0,635,632
175,18,4,517,2,1,144,1,0,1,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,1,0,1,0,707,706
176,34,13,428,4,1,207,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,693,690
177,30,17,518,3,1,224,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,799,798
178,7,7,436,1,2,152,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,609,607
179,34,16,473,1,1,159,6,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,1,3,0,0,3,0,703,700
180,46,17,390,0,2,223,3,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,687,687
181,54,13,293,3,0,206,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,573,570
182,44,17,418,1,0,188,4,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,7,0,686,679
183,62,7,296,1,0,247,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,621,618
184,75,16,179,0,0,251,4,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,531,530
185,61,12,340,0,0,183,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,602,599
186,100,15,215,0,0,230,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,568,565
187,121,15,240,1,0,198,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,0,584,580
188,31,18,296,3,0,319,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,675,675
189,128,16,258,0,0,195,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,0,607,603
190,90,19,261,1,1,281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,656,655
191,107,14,279,0,1,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,600,595
192,65,10,302,2,1,208,3,0,4,0,1,1,0,0,0,1,1,0,2,0,0,1,0,0,0,0,7,0,610,603
193,158,22,191,1,0,154,0,1,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,10,0,541,531
194,119,5,118,0,0,119,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,374,364
195,118,15,222,1,1,289,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,6,0,656,650
196,260,17,140,0,1,144,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,5,0,574,569
197,181,16,173,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,553,540
198,210,16,200,0,0,178,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,618,607
199,158,19,183,0,1,174,1,1,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,546,543
200,84,17,299,1,0,322,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,731,728
201,31,6,190,2,0,160,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,395,395
202,58,13,143,0,1,226,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,447,447
203,113,7,190,2,0,472,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,2,0,0,793,793
205,80,25,177,1,1,331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,619,618
206,70,22,221,1,0,377,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,5,0,1,0,1,0,702,701
207,34,18,444,0,0,272,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,4,0,779,775
208,77,6,299,1,0,248,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,3,0,640,637
209,71,15,228,0,0,208,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,529,527
210,39,8,171,0,0,142,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,366,364
211,45,14,168,2,2,267,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,3,0,2,0,1,0,510,509
212,62,12,226,3,0,319,0,0,1,1,0,1,0,0,0,1,2,0,2,1,2,1,1,0,0,0,2,0,637,635
213,25,14,126,1,2,168,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,3,0,345,342
214,57,16,144,2,0,269,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,494,492
215,73,16,236,0,0,374,2,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,4,0,710,706
216,82,17,197,1,0,258,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,3,0,563,560
217,38,15,233,2,0,370,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,2,3,0,673,670
218,45,5,171,2,0,235,1,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,464,464
